Folder	Time Domain	HPS	FFT	Sample	Midi	HN Offset	Expected	TD	HPS	FFT	Praat	Average	Stdev	Use	Actual MIDI	+Cents	
/002931/Samples/Ch. Claribel Flute 8	Detected = 275.38 Hz	detected pitch = 275.39 Hz	detected pitch = 275.36 Hz	061-c#.wav	61.00	0.00	277.18	275.38	275.39	275.36		275.376666666667	0.02	275.376666666667	60.8868335741909	11.3166425809055	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=60	MIDIKeyNumber=60	MIDIKeyNumber=60	Detected = 275.38 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=88.690121	MIDIPitchFraction=88.770841	MIDIPitchFraction=88.573912	MIDIKeyNumber=60	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	062-d.wav	062-d.wav	062-d.wav	MIDIPitchFraction=88.690121	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 292.27 Hz	detected pitch = 292.26 Hz	detected pitch = 292.27 Hz	062-d.wav	62.00	0.00	293.66	292.27	292.26	292.27		292.266666666667	0.01	292.266666666667	61.9173812859282	8.26187140718133	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=61	MIDIKeyNumber=61	MIDIKeyNumber=61	Detected = 292.27 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=91.758040	MIDIPitchFraction=91.669853	MIDIPitchFraction=91.779976	MIDIKeyNumber=61	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	063-d#.wav	063-d#.wav	063-d#.wav	MIDIPitchFraction=91.758040	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 309.37 Hz	detected pitch = 309.25 Hz	detected pitch = 309.36 Hz	063-d#.wav	63.00	0.00	311.13	309.37	309.25	309.36		309.326666666667	0.07	309.326666666667	62.899532255774	10.0467744226009	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=62	MIDIKeyNumber=62	MIDIKeyNumber=62	Detected = 309.37 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
